date,time,millis,event,pulseCount,rightCount,leftCount,dispensedCount,retrievedCount,rightWaterCount,leftWaterCount,LEDCount,toneCount,frontWaterCount,waterDispensedCount,rightWD_QTY,leftWD_QTY,frontWD_QTY,totalWD_QTY,rightWithPelletCount,leftWithPelletCount,rightDuringDispenseCount,leftDuringDispenseCount,rightinTimeoutCount,leftinTimeoutCount,millis,seconds,millis offset (millis - this = video time),
3/31/2026,10:10:29,4462554.42,TONE,8,17,3,17,17,4,1,34,35,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4462554.42,,,
3/31/2026,10:10:29,4462630.45,LED,7,17,3,17,17,4,1,35,35,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4462630.45,,,
3/31/2026,10:10:30,4463383.11,Dispensed,3,17,3,18,17,4,1,35,35,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4463383.11,,,
3/31/2026,10:10:30,4463446.13,TONE,8,17,3,18,17,4,1,35,36,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4463446.13,,,
3/31/2026,10:10:30,4463521.87,LED,7,17,3,18,17,4,1,36,36,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4463521.87,,,
3/31/2026,10:10:31,4464109.49,Retrieved,4,17,3,18,18,4,1,36,36,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4464109.49,,,
3/31/2026,10:15:18,4751955.42,Right,1,18,3,18,18,4,1,36,36,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4751955.42,,,
3/31/2026,10:15:19,4752598.38,TONE,8,18,3,18,18,4,1,36,37,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4752598.38,,,
3/31/2026,10:15:19,4752674.12,LED,7,18,3,18,18,4,1,37,37,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4752674.12,,,
3/31/2026,10:15:20,4753498.51,Dispensed,3,18,3,19,18,4,1,37,37,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4753498.51,,,
3/31/2026,10:15:20,4753561.53,TONE,8,18,3,19,18,4,1,37,38,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4753561.53,,,
3/31/2026,10:15:20,4753637.28,LED,7,18,3,19,18,4,1,38,38,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4753637.28,,,
3/31/2026,10:15:21,4754098.5,Retrieved,4,18,3,19,19,4,1,38,38,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4754098.5,,,
3/31/2026,10:15:40,4773078.23,Right,1,19,3,19,19,4,1,38,38,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4773078.23,,,
3/31/2026,10:15:40,4773529.86,TONE,8,19,3,19,19,4,1,38,39,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4773529.86,,,
3/31/2026,10:15:40,4773605.59,LED,7,19,3,19,19,4,1,39,39,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4773605.59,,,
3/31/2026,10:15:41,4774448.48,Dispensed,3,19,3,20,19,4,1,39,39,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4774448.48,,,
3/31/2026,10:15:41,4774511.5,TONE,8,19,3,20,19,4,1,39,40,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4774511.5,,,
3/31/2026,10:15:41,4774587.23,LED,7,19,3,20,19,4,1,40,40,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4774587.23,,,
3/31/2026,10:15:42,4775491.09,Retrieved,4,19,3,20,20,4,1,40,40,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4775491.09,,,
3/31/2026,10:16:25,4818522.35,Right,1,20,3,20,20,4,1,40,40,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4818522.35,,,
3/31/2026,10:16:25,4818974.12,TONE,8,20,3,20,20,4,1,40,41,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4818974.12,,,
3/31/2026,10:16:26,4819049.86,LED,7,20,3,20,20,4,1,41,41,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4819049.86,,,
3/31/2026,10:16:26,4819869.56,Dispensed,3,20,3,21,20,4,1,41,41,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4819869.56,,,
3/31/2026,10:16:26,4819932.58,TONE,8,20,3,21,20,4,1,41,42,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4819932.58,,,
3/31/2026,10:16:26,4820008.31,LED,7,20,3,21,20,4,1,42,42,0,5,0.04284,0.02856,0,0.0714,0,0,0,0,0,0,4820008.31,,,
